1.56E+18;1.06E+14;1.56E+02;1.06E-01
1.58E+18;4.35E+13;1.58E+02;4.35E-02
1.59E+18;1.52E+14;1.59E+02;1.52E-01
1.61E+18;1.71E+14;1.61E+02;1.71E-01
1.63E+18;9.56E+13;1.63E+02;9.56E-02
1.64E+18;5.37E+13;1.64E+02;5.37E-02
1.66E+18;1.37E+14;1.66E+02;1.37E-01
1.67E+18;1.44E+14;1.67E+02;1.44E-01
1.69E+18;6.29E+13;1.69E+02;6.29E-02
1.70E+18;5.97E+13;1.70E+02;5.97E-02
1.72E+18;1.49E+14;1.72E+02;1.49E-01
1.73E+18;1.56E+14;1.73E+02;1.56E-01
1.75E+18;7.84E+13;1.75E+02;7.84E-02
1.77E+18;4.19E+13;1.77E+02;4.19E-02
1.78E+18;1.27E+14;1.78E+02;1.27E-01
1.80E+18;1.38E+14;1.80E+02;1.38E-01
1.81E+18;7.59E+13;1.81E+02;7.59E-02
1.83E+18;5.27E+13;1.83E+02;5.27E-02
1.84E+18;1.16E+14;1.84E+02;1.16E-01
1.86E+18;1.17E+14;1.86E+02;1.17E-01
1.88E+18;5.12E+13;1.88E+02;5.12E-02
1.89E+18;5.76E+13;1.89E+02;5.76E-02
1.91E+18;1.23E+14;1.91E+02;1.23E-01
1.92E+18;1.21E+14;1.92E+02;1.21E-01
1.94E+18;5.16E+13;1.94E+02;5.16E-02
1.95E+18;4.81E+13;1.95E+02;4.81E-02
1.97E+18;1.13E+14;1.97E+02;1.13E-01
1.98E+18;1.09E+14;1.98E+02;1.09E-01
2.00E+18;4.02E+13;2.00E+02;4.02E-02
2.02E+18;7.12E+13;2.02E+02;7.12E-02
2.03E+18;1.45E+14;2.03E+02;1.45E-01
2.05E+18;1.53E+14;2.05E+02;1.53E-01
2.06E+18;9.62E+13;2.06E+02;9.62E-02
2.08E+18;4.24E+13;2.08E+02;4.24E-02
2.09E+18;9.43E+13;2.09E+02;9.43E-02
2.11E+18;1.11E+14;2.11E+02;1.11E-01
2.13E+18;6.94E+13;2.13E+02;6.94E-02
